date,half,ticker,direction,close,ema9,ema21
2025-06-09,AM,COIN,UP,256.0900,254.1461,253.9340
2025-06-12,AM,COIN,DOWN,246.0000,254.1773,254.3848
2025-06-18,PM,COIN,UP,254.3500,252.2289,252.0732
2025-07-29,PM,COIN,DOWN,383.0000,393.2146,394.1656
2025-09-10,AM,COIN,UP,321.3700,308.0977,308.0809
2025-09-25,PM,COIN,DOWN,312.3500,323.9192,324.2995
2025-10-01,AM,COIN,UP,344.0800,326.8416,324.5303
2025-10-15,AM,COIN,DOWN,346.5400,359.9766,360.6549
2025-10-27,PM,COIN,UP,363.3500,344.2152,344.0881
2025-10-31,PM,COIN,DOWN,339.9400,346.8423,346.9876
2025-12-04,AM,COIN,UP,276.7300,267.8036,267.1726
2025-12-15,AM,COIN,DOWN,268.3000,270.2406,270.2907
2026-01-06,AM,COIN,UP,255.8400,241.9882,241.8592
2026-01-12,PM,COIN,DOWN,239.7800,243.7404,244.0644
2026-01-14,AM,COIN,UP,254.0200,246.1428,245.1002
2026-01-17,AM,COIN,DOWN,241.1500,245.5381,245.6989
2026-02-26,AM,COIN,UP,183.5200,168.9102,167.5121
2025-02-03,PM,COST,UP,962.9800,957.4680,956.7164
2025-02-25,PM,COST,DOWN,1030.1700,1035.7850,1036.1936
2025-02-26,AM,COST,UP,1048.9200,1038.4120,1037.3506
2025-02-27,PM,COST,DOWN,1028.3500,1035.7232,1036.4123
2025-03-04,AM,COST,UP,1042.7600,1036.2824,1035.7765
2025-03-05,AM,COST,DOWN,1034.2700,1035.2924,1035.3779
2025-04-01,AM,COST,UP,934.9800,923.3093,923.0004
2025-04-07,AM,COST,DOWN,887.6500,925.9393,926.5762
2025-04-10,PM,COST,UP,951.9800,926.8167,924.5200
2025-05-30,PM,COST,DOWN,993.1000,1007.3005,1009.1629
2025-06-02,AM,COST,UP,1044.6588,1014.7722,1012.3898
2025-06-09,PM,COST,DOWN,1008.1500,1023.2097,1023.6106
2025-08-05,AM,COST,UP,953.8600,941.8249,941.6497
2025-08-25,AM,COST,DOWN,942.5656,966.7261,969.0817
2025-09-08,PM,COST,UP,961.0100,952.9050,952.0933
2025-09-17,PM,COST,DOWN,949.4300,956.7944,957.5168
2025-10-10,PM,COST,UP,937.9900,924.5715,923.7792
2025-10-28,AM,COST,DOWN,924.9100,933.1215,933.3148
2025-11-05,PM,COST,UP,933.7100,926.3455,925.6182
2025-11-06,AM,COST,DOWN,918.3203,924.7404,924.9547
2025-12-02,AM,COST,UP,911.9591,904.7709,903.8558
2025-12-05,PM,COST,DOWN,894.5600,904.5523,905.1810
2026-01-06,PM,COST,UP,874.3500,866.2753,865.4994
2026-02-02,PM,COST,DOWN,937.5000,951.6070,952.2413
2026-02-03,AM,COST,UP,984.7600,958.2376,955.1975
2026-02-23,PM,COST,DOWN,984.5000,990.0962,990.3045
2026-02-24,PM,COST,UP,998.0200,991.1728,990.7262
2026-02-27,PM,COST,DOWN,987.0000,990.6229,990.9894
2026-02-28,AM,COST,UP,1005.4100,993.5803,992.3004
2026-03-06,PM,COST,DOWN,975.2200,993.0943,994.7404
2026-03-10,PM,COST,UP,1001.0000,996.1629,995.6293
2026-03-12,PM,COST,DOWN,989.3100,994.2851,994.9487
2026-03-13,AM,COST,UP,1002.5000,995.9280,995.6352
2025-02-03,PM,GOOGL,UP,199.7100,199.3340,199.2827
2025-02-05,AM,GOOGL,DOWN,190.8500,198.3848,198.9302
2025-03-26,AM,GOOGL,UP,169.6400,166.1192,165.6872
2025-03-28,AM,GOOGL,DOWN,161.5700,165.1557,165.4179
2025-04-14,AM,GOOGL,UP,158.5800,153.6794,153.0906
2025-04-21,AM,GOOGL,DOWN,148.8900,153.0331,153.5620
2025-04-24,PM,GOOGL,UP,155.0500,153.1923,153.1137
2025-05-08,PM,GOOGL,DOWN,154.7400,159.5218,159.6552
2025-05-15,AM,GOOGL,UP,163.5500,159.2898,158.8136
2025-06-04,PM,GOOGL,DOWN,165.9300,168.1634,168.3048
2025-06-05,PM,GOOGL,UP,169.7600,168.4742,168.4210
2025-06-21,AM,GOOGL,DOWN,166.6600,172.6804,173.2142
2025-06-28,AM,GOOGL,UP,178.1500,172.7644,172.0336
2025-09-30,PM,GOOGL,DOWN,243.7000,246.6251,246.8581
2025-10-07,PM,GOOGL,UP,248.6400,246.3196,246.0471
2025-10-08,PM,GOOGL,DOWN,244.8700,245.8377,245.8635
2025-10-16,AM,GOOGL,UP,252.4400,244.7843,244.2174
2025-12-13,AM,GOOGL,DOWN,308.7900,314.4888,314.9828
2025-12-24,PM,GOOGL,UP,315.4600,310.6984,310.1984
2026-01-21,PM,GOOGL,DOWN,319.2900,325.4487,326.0168
2026-01-22,AM,GOOGL,UP,335.2800,327.4150,326.8590
2026-02-05,PM,GOOGL,DOWN,315.9800,333.2562,334.2059
2026-03-12,PM,GOOGL,UP,306.5900,304.3195,304.0611
2025-02-03,PM,GS,DOWN,610.8800,611.6400,611.7436
2025-02-04,AM,GS,UP,616.0800,612.5280,612.1379
2025-02-24,AM,GS,DOWN,617.2700,632.9124,633.5046
2025-03-24,PM,GS,UP,563.2200,549.2391,548.3018
2025-03-28,AM,GS,DOWN,527.2128,552.3854,552.4059
2025-04-23,AM,GS,UP,521.2500,499.6204,497.6391
2025-08-20,AM,GS,DOWN,707.2708,719.0062,719.1954
2025-08-25,PM,GS,UP,728.5700,719.7405,718.5847
2025-10-02,PM,GS,DOWN,777.3800,784.6851,784.9312
2025-10-07,PM,GS,UP,791.5100,784.3829,784.2067
2025-10-08,AM,GS,DOWN,779.1878,783.3438,783.7504
2025-10-27,PM,GS,UP,782.0600,760.0241,759.5605
2025-11-18,PM,GS,DOWN,761.7400,784.2256,786.1682
2025-11-26,AM,GS,UP,808.4109,785.0391,783.3113
2026-01-26,PM,GS,DOWN,910.2500,932.5743,934.0314
2026-02-03,AM,GS,UP,942.7300,931.7200,931.0754
2026-02-05,AM,GS,DOWN,907.5400,928.6220,930.1866
2026-02-10,PM,GS,UP,938.0800,927.5748,926.5237
2026-02-13,PM,GS,DOWN,901.0800,924.4612,926.9216
2025-02-03,PM,JPM,DOWN,257.2800,257.4480,257.4709
2025-02-04,AM,JPM,UP,261.0400,258.1664,257.7954
2025-02-21,PM,JPM,DOWN,262.3600,267.2624,267.3782
2025-03-24,PM,JPM,UP,240.6700,234.6039,234.3288
2025-04-03,AM,JPM,DOWN,231.5800,237.0386,237.6516
2025-04-14,PM,JPM,UP,236.1600,226.6992,226.1210
2025-08-04,PM,JPM,DOWN,287.7000,291.3800,291.4273
2025-08-15,PM,JPM,UP,292.0200,289.7381,289.6511
2025-08-18,AM,JPM,DOWN,288.8153,289.5536,289.5751
2025-08-25,AM,JPM,UP,293.2700,289.7184,289.3266
2025-09-09,AM,JPM,DOWN,290.8600,294.0088,294.0263
2025-09-10,AM,JPM,UP,297.8563,294.1737,294.0608
2025-10-03,PM,JPM,DOWN,305.3100,308.5417,308.6984
2025-10-29,AM,JPM,UP,302.9300,300.1379,300.1226
2025-11-17,PM,JPM,DOWN,301.8500,308.7964,309.3807
2025-12-01,AM,JPM,UP,310.4100,304.4297,303.8848
2025-12-11,AM,JPM,DOWN,308.0700,308.1286,308.1364
2025-12-12,AM,JPM,UP,316.6900,309.7947,308.8895
2026-01-14,AM,JPM,DOWN,311.9900,323.1482,324.1382
2026-02-04,AM,JPM,UP,315.5900,307.5532,306.7270
2026-02-13,PM,JPM,DOWN,302.0000,311.3515,312.4603
2025-02-03,PM,MARA,DOWN,17.0500,17.2980,17.3318
2025-02-04,AM,MARA,UP,17.7400,17.3864,17.3689
2025-02-07,AM,MARA,DOWN,16.9300,17.3271,17.3658
2025-03-10,AM,MARA,UP,15.1300,14.6413,14.6331
2025-03-11,AM,MARA,DOWN,13.6300,14.5364,14.5929
2025-03-25,PM,MARA,UP,14.3800,13.2651,13.2303
2025-03-31,AM,MARA,DOWN,12.0200,13.2485,13.3201
2025-04-14,PM,MARA,UP,13.0300,12.0604,11.9346
2025-05-06,PM,MARA,DOWN,12.8100,13.6335,13.6355
2025-05-08,AM,MARA,UP,14.0900,13.6870,13.6556
2025-05-30,AM,MARA,DOWN,14.4800,15.4176,15.5165
2025-06-09,AM,MARA,UP,16.2000,15.3703,15.2794
2025-06-17,AM,MARA,DOWN,15.0500,15.5095,15.5650
2025-07-01,AM,MARA,UP,15.4000,15.1136,15.0780
2025-07-24,PM,MARA,DOWN,17.4100,18.6790,18.7200
2025-08-28,PM,MARA,UP,16.0600,15.7463,15.7063
2025-09-05,PM,MARA,DOWN,15.4800,15.7024,15.7322
2025-09-10,PM,MARA,UP,16.2000,15.7207,15.6948
2025-09-29,AM,MARA,DOWN,16.5500,17.0537,17.0851
